dep;pro;can;ciu;area;zona;v00;p00;p02;p03;p04;p07;p06;p08;p09;p10;p11;p14;p15;p16;p17;p18;p20;p21;p23m;p23a;p05;i10p;i13p;p06nue;p07nue;p08nue;folio
9;95;0;99;1;1;10;1;1;1;44;88;95;95;1;1;2;53;1;451;9318;2;88;88;88;88;2;1;11;1;1;1;1151514
9;95;0;99;1;1;10;2;2;2;34;95;95;95;1;1;2;46;5;8888;8888;8;4;4;10;69;2;1;11;1;1;1;1151514
9;95;0;99;1;1;10;3;3;2;15;95;95;95;1;1;1;31;6;8888;8888;8;0;0;99;0;1;1;11;1;1;1;1151514
9;95;0;99;1;1;10;4;3;2;12;95;95;95;1;1;1;21;6;8888;8888;8;0;0;99;0;1;1;11;1;1;1;1151514
9;95;0;99;1;1;10;5;3;1;9;95;95;95;1;1;1;13;6;8888;8888;8;88;88;88;88;8;1;11;1;1;1;1151514
9;95;0;99;1;1;10;6;3;2;7;95;95;95;1;1;1;11;6;8888;8888;8;88;88;88;88;8;1;11;1;1;1;1151514
9;95;0;99;1;1;10;7;7;1;21;88;95;88;1;1;1;32;1;6347;5002;1;88;88;88;88;1;1;11;1;1;1;1151514
9;95;0;99;1;1;10;1;1;1;60;90;95;95;1;1;2;43;1;7339;5002;4;88;88;88;88;2;2;11;1;1;1;1151515
9;95;0;99;1;1;10;2;2;2;55;90;95;95;1;2;2;0;5;8888;8888;8;10;9;9;69;2;2;11;1;1;1;1151515
9;95;0;99;1;1;10;3;3;1;21;95;95;95;1;1;1;32;6;8888;8888;8;88;88;88;88;1;2;11;1;1;1;1151515
9;95;0;99;1;1;10;4;3;2;17;95;95;95;1;1;1;33;6;8888;8888;8;0;0;99;0;1;2;11;1;1;1;1151515
9;95;0;99;1;1;10;5;3;2;15;95;95;95;1;1;1;15;6;8888;8888;8;0;0;99;0;1;2;11;1;1;1;1151515
9;95;0;99;1;1;10;6;3;1;12;95;95;95;1;1;1;13;6;8888;8888;8;88;88;88;88;1;2;11;1;1;1;1151515
9;95;0;99;1;1;10;7;3;1;10;95;95;95;1;1;1;13;6;8888;8888;8;88;88;88;88;8;2;11;1;1;1;1151515
9;95;0;99;1;1;10;8;3;2;23;95;95;95;1;1;2;54;5;8888;8888;8;2;2;3;74;1;2;11;1;1;1;1151515
9;95;0;99;1;1;10;9;9;1;30;64;95;64;6;1;2;55;1;2886;7200;2;88;88;88;88;1;2;11;1;1;1;1151515
9;95;0;99;1;1;10;10;5;1;4;95;95;888;1;8;8;98;9;8888;8888;8;88;88;88;88;8;2;11;1;1;0;1151515
9;95;0;99;1;1;10;11;5;1;4;95;95;888;1;8;8;98;9;8888;8888;8;88;88;88;88;8;2;11;1;1;0;1151515
9;95;0;99;1;1;10;12;5;2;2;95;95;888;0;8;8;98;9;8888;8888;8;88;88;88;88;8;2;11;1;1;0;1151515
9;95;0;99;1;1;10;13;5;2;2;95;95;888;0;8;8;98;9;8888;8888;8;88;88;88;88;8;2;11;1;1;0;1151515
9;95;0;99;1;1;10;14;4;1;24;88;95;95;1;1;2;45;1;8217;5002;1;88;88;88;88;3;2;11;1;1;1;1151515
9;95;0;99;1;1;10;1;1;1;39;95;95;95;1;1;2;55;1;6603;9555;4;88;88;88;88;2;3;11;1;1;1;1151516
9;95;0;99;1;1;10;1;1;1;36;95;95;95;6;1;2;46;1;5001;7021;4;88;88;88;88;2;4;11;1;1;1;1151517
9;95;0;99;1;1;10;2;2;2;24;95;95;95;1;1;2;46;5;8888;8888;8;3;3;9;75;2;4;11;1;1;1;1151517
9;95;0;99;1;1;10;3;3;1;8;95;95;95;1;1;1;13;6;8888;8888;8;88;88;88;88;8;4;11;1;1;1;1151517
9;95;0;99;1;1;10;4;3;2;7;95;95;95;1;1;1;12;6;8888;8888;8;88;88;88;88;8;4;11;1;1;1;1151517
9;95;0;99;1;1;10;5;3;2;0;95;95;888;0;8;8;98;9;8888;8888;8;88;88;88;88;8;4;11;1;1;0;1151517
9;95;0;99;1;1;10;6;7;1;28;6;95;11;6;1;2;54;1;5001;7021;4;88;88;88;88;2;4;11;1;1;1;1151517
9;95;0;99;1;1;10;7;7;1;25;6;95;11;6;1;2;53;1;6301;3310;4;88;88;88;88;2;4;11;1;1;1;1151517
9;95;0;99;1;1;10;1;1;1;64;11;95;95;1;1;2;46;1;2886;9105;2;88;88;88;88;2;5;21;1;1;1;1151518
9;95;0;99;1;1;10;2;2;2;54;88;95;95;1;1;2;43;5;8888;8888;8;11;8;7;59;2;5;21;1;1;1;1151518
9;95;0;99;1;1;10;3;3;1;19;95;95;95;1;1;1;31;6;8888;8888;8;88;88;88;88;1;5;21;1;1;1;1151518
9;95;0;99;1;1;10;1;1;2;29;95;95;95;1;1;2;43;1;9221;9571;2;0;0;99;0;2;5;22;1;1;1;1151519
9;95;0;99;1;1;10;1;1;1;55;29;95;95;6;1;2;54;1;2886;9105;2;88;88;88;88;2;6;11;1;1;1;1151520
9;95;0;99;1;1;10;2;2;2;50;95;95;95;1;1;2;46;5;8888;8888;8;9;7;11;64;2;6;11;1;1;1;1151520
9;95;0;99;1;1;10;3;3;2;15;95;95;95;1;1;1;31;6;8888;8888;8;0;0;99;0;1;6;11;1;1;1;1151520
9;95;0;99;1;1;10;4;3;2;13;95;95;95;1;1;1;21;6;8888;8888;8;0;0;99;0;1;6;11;1;1;1;1151520
9;95;0;99;1;1;10;1;1;1;26;11;95;95;5;1;2;52;1;9608;9105;2;88;88;88;88;2;7;11;1;1;1;1151521
9;95;0;99;1;1;10;2;2;2;20;95;95;95;1;1;2;51;5;8888;8888;8;3;3;7;75;2;7;11;1;1;1;1151521
9;95;0;99;1;1;10;3;3;1;4;95;95;888;1;8;8;98;9;8888;8888;8;88;88;88;88;8;7;11;1;1;0;1151521
9;95;0;99;1;1;10;4;3;2;3;95;95;888;1;8;8;98;9;8888;8888;8;88;88;88;88;8;7;11;1;1;0;1151521
