dep;pro;can;ciu;area;zona;v00;v01;v02;v03;v04;v05;v06;v07;v081;v082;v083;v09;v10;v11;v12;v14;v15;v18h;v18m;i10v;i13v;v011;claviv;v18t;urb;folio;totpob;tothom;totmuj
9;95;0;99;1;1;10;11;1;5;1;1;1;1;1;3;3;1;6;3;2;1;3;3;4;1;11;1;4;7;1;1151514;7;3;4
9;95;0;99;1;1;10;14;1;5;4;5;1;1;3;4;3;2;3;2;2;1;3;8;6;2;11;1;10;14;1;1151515;14;8;6
9;95;0;99;1;1;10;14;1;2;4;5;1;1;1;3;3;2;2;1;1;1;3;1;0;3;11;1;9;1;1;1151516;1;1;0
9;95;0;99;1;1;10;14;1;3;4;3;1;1;1;3;1;1;2;1;2;1;3;4;3;4;11;1;11;7;1;1151517;7;4;3
9;95;0;99;1;1;10;14;1;5;4;1;1;1;1;3;3;1;2;1;2;1;3;2;1;5;21;1;5;3;1;1151518;3;2;1
9;95;0;99;1;1;10;14;1;5;4;1;1;1;1;3;3;1;2;1;2;1;3;0;1;5;22;1;5;1;1;1151519;1;0;1
9;95;0;99;1;1;10;11;1;5;5;1;4;7;3;4;3;1;4;3;1;1;3;1;3;6;11;1;11;4;1;1151520;4;1;3
9;95;0;99;1;1;10;11;1;3;1;2;1;1;1;3;1;1;1;0;2;5;3;3;2;7;11;1;2;5;1;1151521;5;3;2
9;95;0;99;1;1;10;14;1;4;4;4;4;6;2;3;3;1;2;1;1;2;3;3;3;8;11;1;11;6;1;1151522;6;3;3
9;95;0;99;1;1;10;14;1;4;4;4;4;6;2;3;3;1;2;1;1;2;3;1;3;9;11;1;11;4;1;1151523;4;1;3
9;95;0;99;1;1;10;14;1;5;4;1;2;1;1;3;3;1;2;1;2;1;3;2;2;10;11;1;5;4;1;1151524;4;2;2
9;95;0;99;1;1;10;14;1;5;4;1;2;1;1;3;3;1;3;2;1;1;3;0;1;11;11;1;5;1;1;1151525;1;0;1
