idep;ipro;isec;i03;i04;i05;i06;i07;i08;i09;i10;i13;typ;i12;i122;v01;v02;v03;v04;v05;v06;v07;v08;v081;v082;v09;v10;v11;v12;v13;v14;v15a;v15b;v15c;v15d;v15e;v15f;v15g;v15h;v15i;v16a;v16b;v16c;v16d;v16e;v17;v171a;v171b1;v171b2;v171b3;v171b4;v171b5;v172a;v172b1;v172b2;v172b3;v172b4;v172b5;v18h;v18m;v18t;otro1;v20;v21;v22;otro2;nbi;urba;vparti
9;1;1;1;101;1;10;1;1;362;1;1;1;;;4;1;5;4;5;4;2;2;2;3;2;2;2;1;1;2;0;0;0;0;0;0;0;8;0;0;8;0;0;0;2;;;;;;;;;;;;;4;4;8;"035";3;10;1;" ";1651;1;1
9;1;1;1;101;1;10;1;1;362;2;2;1;;;1;1;5;1;1;1;1;2;1;3;2;2;2;1;3;1;0;0;0;6;0;0;0;0;0;0;6;0;0;0;2;;;;;;;;;;;;;2;4;6;"035";3;4;1;" ";1154;1;1
9;1;1;1;101;1;10;1;1;362;3;3;1;;;1;1;5;1;1;4;2;3;;;2;2;2;1;3;2;0;0;0;0;5;0;0;0;0;0;5;0;0;0;2;;;;;;;;;;;;;1;4;5;"035";2;4;1;" ";1509;1;1
9;1;1;1;101;1;10;1;1;362;4;4;1;;;4;1;7;5;5;4;2;3;;;2;1;1;1;3;2;0;0;0;0;4;0;0;0;0;0;4;0;0;0;2;;;;;;;;;;;;;2;2;4;"035";2;10;1;" ";1788;1;1
9;1;1;1;101;1;10;1;1;362;5;5;1;;;4;1;2;4;5;4;2;3;;;2;1;1;1;3;1;0;0;0;0;5;0;0;0;0;0;5;0;0;0;2;;;;;;;;;;;;;3;2;5;"035";2;9;1;" ";1661;1;1
9;1;1;1;101;1;10;1;1;362;6;6;1;;;1;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;"035";0;0;1;" ";10000;1;1
9;1;1;1;101;1;10;1;1;362;7;7;1;;;4;1;5;4;5;4;2;2;1;3;2;1;1;1;1;1;0;0;0;0;6;0;0;0;0;0;6;0;0;0;2;;;;;;;;;;;;;3;3;6;"035";2;10;1;" ";1585;1;1
9;1;1;1;101;1;10;1;1;362;8;8;1;;;4;1;1;4;5;4;2;2;2;3;2;1;1;1;5;2;0;0;0;0;0;0;0;3;0;0;3;0;0;0;2;;;;;;;;;;;;;1;2;3;"035";2;9;1;" ";1639;1;1
9;1;1;1;101;1;10;1;1;362;9;9;1;;;4;1;7;5;5;4;2;2;2;3;2;1;1;2;1;1;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2;;;;;;;;;;;;;2;0;2;"035";3;10;1;" ";1750;1;1
9;1;1;1;101;1;10;1;1;362;10;10;1;;;1;1;5;4;4;4;2;2;2;3;2;2;2;1;5;1;0;0;0;9;0;0;0;0;0;0;0;9;0;0;2;;;;;;;;;;;;;5;4;9;"035";3;5;1;" ";1538;1;1
