folio;departamento;totper;rcompra;s7_13_01;s7_13_02;s7_13_03;s7_13_04;s7_13_05;s7_13_06;s7_13_07;s7_13_08;s7_13_09;s7_13_10;s7_13_11;s7_13_12;s7_13_13;s7_13_14;s7_13_15;s7_14_01;s7_14_02;s7_14_03;s7_14_04;s7_14_05;s7_14_06;s7_14_07;s7_14_08;s7_14_09;s7_15_01;s7_15_02;s7_15_03;s7_15_04;s7_15_05;s7_15_06;s7_15_07;s7_15_08;s7_15_09;s7_15_10;s7_15_11;s7_15_12;s7_15_13;s7_15_14;s7_15_15;upm;estrato;area;suma_sal;factor_ant;factor
"10010080011";"01";2;1;43;0;40;0;0;5;30;0;0;0;8;0;0;270;0;0;0;0;0;0;0;0;66.66666666666667;0;125;5;0;0;29.16666666666667;6.666666666666667;0;0;0;0;0;0;0;0;0;"100100108";"22";2;628.5;279;261
"10010080031";"01";6;1;23;0;40;0;0;10;10;50;20;0;10;0;0;0;0;46.66666666666666;66.66666666666667;100;0;8.333333333333334;316.6666666666667;6.666666666666667;50;0;4.166666666666667;5.833333333333333;0;0;0;1.25;2.916666666666667;8.333333333333334;0;0;0;0;0;0;0;"100100108";"22";2;780.4999999999999;279;261
"10010080061";"01";3;1;20;0;40;0;0;30;20;0;15;0;20;0;0;300;0;0;0;16.66666666666667;20;0;0;0;0;0;4.166666666666667;0;208.3333333333333;0;0;0;0;0;0;0;0;125;0;0;0;"100100108";"22";2;819.1666666666667;279;261
"10010080081";"01";1;1;15;0;40;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33.33333333333334;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"100100108";"22";2;93.33333333333334;279;261
"10010080111";"01";1;1;8;0;10;0;0;0;10;0;0;0;3;0;0;0;0;0;0;0;16.66666666666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"100100108";"22";2;47.66666666666667;279;261
"10010080131";"01";4;1;15;0;150;0;0;0;16;40;16;0;0;0;0;0;0;0;0;10;0;0;0;0;1.666666666666667;0;.4166666666666667;16.66666666666667;0;0;83.33333333333333;0;0;0;0;0;0;0;0;0;0;"100100108";"22";2;349.0833333333333;279;261
"10010080161";"01";3;1;0;0;40;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;63;0;1.666666666666667;58.33333333333334;0;0;0;0;0;0;0;0;0;0;0;0;0;"100100108";"22";2;183;279;261
"10010080181";"01";4;2;10;0;10;0;0;5;0;25;0;0;0;0;0;100;0;0;0;0;0;0;0;6.666666666666667;16.66666666666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"100100108";"22";2;173.3333333333333;279;261
"10010080201";"01";4;2;12;0;80;0;0;0;13;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;105;0;0;2.5;0;0;83.33333333333333;0;0;0;0;0;0;0;0;0;0;"100100108";"22";2;319.8333333333333;279;261
"10010080231";"01";5;2;13;0;20;0;0;0;12;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"100100108";"22";2;51;279;261
"10010080251";"01";2;2;14;0;10;0;0;0;25;0;14;0;5;0;0;0;0;0;0;0;0;0;0;0;216.6666666666667;0;2.916666666666667;5;0;0;22.5;0;0;0;0;0;0;0;0;0;0;"100100108";"22";2;315.0833333333333;279;261
"10010080281";"01";1;1;0;0;50;0;0;0;0;0;15;0;8;0;0;1300;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"100100108";"22";2;1373;279;261
"10031030031";"01";3;2;20;0;24;0;0;15;42;14;0;0;0;0;0;0;0;0;0;50;0;0;11.66666666666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;.5;0;0;0;"100310703";"22";2;177.1666666666667;283;265
"10031030081";"01";1;1;10;0;24;0;0;0;26;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;11.66666666666667;0;0;0;0;0;0;0;0;0;0;0;0;.3333333333333333;0;0;0;"100310703";"22";2;92;283;265
"10031030131";"01";2;1;150;0;16;50;0;50;80;0;0;0;50;0;0;0;0;16.66666666666667;266.6666666666667;0;833.3333333333334;10;0;0;0;0;0;0;0;0;358.3333333333333;41.66666666666666;0;50;0;0;0;0;0;0;0;"100310703";"22";2;1972.666666666667;283;265
"10031030181";"01";10;2;20;0;60;0;0;0;25;14;0;0;0;0;0;0;0;5;0;33.33333333333334;66.66666666666667;0;0;0;20;0;1.666666666666667;0;0;0;66.66666666666667;0;0;8.333333333333334;0;0;0;0;0;0;0;"100310703";"22";2;320.6666666666666;283;265
"10031030231";"01";1;1;20;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23.33333333333333;0;0;0;0;0;0;83.33333333333333;41.66666666666666;83.33333333333333;0;0;0;0;0;0;0;0;0;0;0;0;"100310703";"22";2;351.6666666666667;283;265
"10031030281";"01";3;1;13;0;64;0;0;0;8;14;0;0;0;0;0;0;0;0;57.33333333333334;0;0;0;0;0;8.333333333333334;0;.8333333333333334;0;0;0;0;.5833333333333334;0;16.66666666666667;0;0;0;0;0;0;0;"100310703";"22";2;182.75;283;265
