folio;departamento;n_hogar;s8_01;s8_02;s8_02e;s8_03;s8_04;s8_05;s8_05e;s8_06;s8_07;s8_07e;s8_08;s8_08e;s8_09;s8_09e;s8_10;s8_11;s8_12;s8_13;s8_14;s8_15;s8_16;s8_17;s8_17e;s8_181a;s8_181b;s8_182a;s8_182b;s8_183a;s8_183b;s8_184a;s8_184b;s8_184e;s8_191a;s8_191b;s8_192a;s8_192b;s8_193a;s8_193b;s8_194a;s8_194b;s8_195a;s8_195b;s8_195e;s8_20;s8_21;s8_21e;s8_22;s8_23;s8_24;s8_25;s8_26;s8_27;s8_28;s8_29;s8_30;s8_31;s8_32;s8_331;s8_332;s8_333;s8_334;s8_335;s8_34;upm;estrato;area;ccons;chabita;cserv;cviv2;factor_ant;factor
"10010080011";"01";1;1;2;"";;150;2;"";1;2;"";5;"";6;"";2;0;1;1;3;1;16;4;"";2;;1;150;2;;2;;"";2;;1;400;2;;2;;2;;"";1;1;"";0;4;2;2;;2;;1;1;60;3;;;;;;;"100100108";"22";2;0;3;2;0;279;261
"10010080031";"01";1;1;2;"";;100;2;"";1;2;"";1;"";6;"";2;0;2;;;1;16;1;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";2;1;"";0;1;1;2;;2;;1;2;200;3;;;;;;;"100100108";"22";2;0;1;2;-1;279;261
"10010080061";"01";1;1;2;"";;100;2;"";2;1;"";5;"";6;"";2;0;2;;;1;20;2;"";2;;2;;2;;2;;"";1;800;2;;2;;2;;2;;"";2;1;"";0;1;1;2;;2;;1;3;200;3;;;;;;;"100100108";"22";2;0;2;2;0;279;261
"10010080081";"01";1;1;2;"";;100;1;"";1;2;"";5;"";6;"";2;0;2;;;1;20;1;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;1;"";10;2;1;1;1;2;;2;;;3;;;;;;;"100100108";"22";2;1;3;2;1;279;261
"10010080111";"01";1;1;2;"";;100;2;"";1;2;"";5;"";8;"DEPOSITO DE AGUA";4;0;1;1;3;2;;3;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";2;1;"";0;2;1;2;;2;;2;;;3;;;;;;;"100100108";"22";2;0;2;1;0;279;261
"10010080131";"01";1;1;2;"";;50;2;"";2;4;"";1;"";6;"";2;0;2;;;1;27;2;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";2;1;"";30;4;2;2;;2;;1;1;10;3;;;;;;;"100100108";"22";2;-1;2;2;0;279;261
"10010080161";"01";1;1;2;"";;100;2;"";1;1;"";5;"";6;"";2;0;1;1;3;1;13;3;"";2;;2;;2;;2;;"";1;6800;2;;2;;2;;2;;"";1;1;"";0;2;1;2;;2;;1;2;50;3;;;;;;;"100100108";"22";2;0;3;2;0;279;261
"10010080181";"01";1;1;2;"";;100;2;"";2;1;"";5;"";6;"";2;0;2;;;1;14;2;"";2;;2;;2;;2;;"";1;5000;2;;2;;2;;2;;"";1;1;"";0;1;1;2;;2;;1;1;10;3;;;;;;;"100100108";"22";2;0;2;2;0;279;261
"10010080201";"01";1;1;2;"";;200;2;"";1;2;"";5;"";6;"";2;0;2;;;1;15;3;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;1;"";0;3;2;2;;2;;1;1;40;3;;;;;;;"100100108";"22";2;0;3;2;0;279;261
"10010080231";"01";1;1;2;"";;300;2;"";1;2;"";5;"";6;"";2;0;2;;;2;;3;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;1;"";0;3;3;2;;2;;1;2;30;3;;;;;;;"100100108";"22";2;0;3;1;0;279;261
"10010080251";"01";1;1;2;"";;200;2;"";1;2;"";5;"";6;"";2;0;1;1;3;2;;3;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;1;"";0;3;2;2;;2;;1;2;20;3;;;;;;;"100100108";"22";2;0;3;1;0;279;261
