folio;departamento;totper;rcompra;s7_13_01;s7_13_02;s7_13_03;s7_13_04;s7_13_05;s7_13_06;s7_13_07;s7_13_08;s7_13_09;s7_13_10;s7_13_11;s7_13_12;s7_13_13;s7_13_14;s7_13_15;s7_13_16;s7_13_17;s7_14_01;s7_14_02;s7_14_03;s7_14_04;s7_14_05;s7_14_06;s7_14_07;s7_14_08;s7_14_09;s7_15_01;s7_15_02;s7_15_03;s7_15_04;s7_15_05;s7_15_06;s7_15_07;s7_15_08;s7_15_09;s7_15_10;s7_15_11;s7_15_12;s7_15_13;s7_15_14;s7_15_15;upm;estrato;area;factor_ant;factor
"10007060021";1;3;2;30;0;10;0;0;0;60;0;40;0;0;0;0;0;0;100;0;60;0;200;100;50;45;0;100;0;100;0;0;0;75;0;1800;0;0;0;0;0;0;0;0;"100070106";"31";2;528;527
"10007060061";1;4;1;20;0;10;0;0;5;20;0;0;0;0;0;0;0;0;20;0;0;500;200;0;0;0;300;0;0;0;0;0;0;700;100;0;50;0;0;0;0;0;0;0;"100070106";"31";2;528;527
"10007060091";1;3;2;0;0;60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50;70;70;0;0;0;0;0;7;0;0;0;100;0;0;15;0;0;0;0;0;0;0;"100070106";"31";2;528;527
"10007060131";1;3;2;20;0;20;30;0;0;30;0;0;0;5;0;0;0;0;50;0;20;0;0;150;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"100070106";"31";2;528;527
"10007060161";1;6;2;60;0;50;0;0;0;20;0;0;0;20;0;0;0;0;100;0;0;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"100070106";"31";2;528;527
"10007060201";1;3;1;0;0;40;4;0;15;50;40;0;0;0;0;0;0;0;40;0;40;0;0;0;0;0;0;80;0;0;0;0;0;0;0;0;0;0;0;0;160;0;0;0;"100070106";"31";2;528;527
"10007060241";1;6;2;30;0;50;0;0;0;15;0;0;0;5;0;0;0;0;100;0;0;100;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"100070106";"31";2;528;527
"10007060271";1;6;2;0;0;50;0;0;0;46;10;0;0;0;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;100;300;0;0;0;0;0;0;0;0;0;100;1800;0;0;"100070106";"31";2;528;527
"10007060311";1;1;1;50;0;30;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;50;0;0;0;0;0;0;0;0;0;"100070106";"31";2;528;527
"10007060341";1;1;1;0;50;50;0;0;0;20;15;0;0;0;0;0;100;0;100;0;0;0;500;0;0;0;0;100;0;300;0;0;0;0;0;0;50;0;0;0;0;800;0;0;"100070106";"31";2;528;527
"10007060381";1;2;2;15;0;200;50;0;0;100;10;0;0;0;200;0;0;0;200;0;0;0;200;250;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"100070106";"31";2;528;527
"10007060411";1;1;1;20;0;100;100;0;50;0;10;0;0;0;400;0;0;0;200;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"100070106";"31";2;528;527
"10036020021";1;3;3;0;0;40;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"100360202";"31";2;288;288
"10036020051";1;8;2;10;0;40;0;0;0;0;0;0;0;5;0;0;0;0;40;0;0;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"100360202";"31";2;288;288
"10036020071";1;4;3;0;0;10;0;0;0;20;10;0;0;5;0;0;0;0;10;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0;50;0;0;0;0;0;0;0;0;0;"100360202";"31";2;288;288
"10036020101";1;2;2;10;0;80;0;0;0;30;0;0;0;10;0;0;0;0;50;0;0;0;50;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"100360202";"31";2;288;288
"10036020131";1;2;2;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;80;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"100360202";"31";2;288;288
"10036020151";1;6;2;0;0;20;0;0;0;30;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"100360202";"31";2;288;288
"10036020181";1;5;1;10;0;80;0;0;0;150;0;0;0;0;0;0;20;0;100;0;0;0;0;0;0;0;92;0;0;500;500;1000;0;0;0;0;20;0;0;0;0;0;0;0;"100360202";"31";2;288;288
"10036020211";1;2;1;20;0;20;0;0;0;10;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;200;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"100360202";"31";2;288;288
"10036020231";1;1;1;5;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"100360202";"31";2;288;288
"10036020261";1;6;3;10;0;30;0;0;0;10;0;0;0;5;0;0;0;0;20;0;0;0;100;200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"100360202";"31";2;288;288
"10036020291";1;2;2;13;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;80;60;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"100360202";"31";2;288;288
"10036020311";1;2;2;15;0;20;0;0;0;18;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;50;60;0;30;50;150;0;0;0;0;0;0;0;0;0;0;0;0;"100360202";"31";2;288;288
"10049030021";1;7;2;0;0;25;0;0;0;20;0;0;0;5;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"100490103";"31";2;357;356
"10049030061";1;6;1;10;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;50;60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"100490103";"31";2;357;356
"10049030101";1;7;1;30;0;40;0;0;0;20;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"100490103";"31";2;357;356
"10049030141";1;6;1;10;0;0;0;0;0;10;0;0;0;5;0;0;0;0;0;0;0;0;160;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"100490103";"31";2;357;356
"10049030181";1;9;2;0;0;20;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;"100490103";"31";2;357;356
"10049030221";1;7;2;12;0;40;0;0;0;30;0;0;0;5;0;0;0;0;0;0;0;50;50;0;0;0;0;120;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"100490103";"31";2;357;356
"10049030261";1;6;1;0;0;13;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"100490103";"31";2;357;356
"10049030301";1;5;1;10;0;20;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"100490103";"31";2;357;356
"10049030341";1;5;1;15;0;35;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;100;0;0;50;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"100490103";"31";2;357;356
"10049030381";1;5;2;20;0;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"100490103";"31";2;357;356
"10049030421";1;4;1;0;0;40;0;0;0;50;0;0;0;5;0;0;0;0;20;0;0;70;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"100490103";"31";2;357;356
"10049030461";1;4;1;20;0;40;0;0;0;15;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"100490103";"31";2;357;356
"10053020021";1;7;2;20;0;0;0;0;0;15;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"100530602";"31";2;223;223
