folio;departamento;n_hogar;s8_01;s8_02;s8_02e;s8_03;s8_04;s8_05;s8_05e;s8_06;s8_07;s8_07e;s8_08;s8_08e;s8_09;s8_09e;s8_10;s8_11;s8_12;s8_13;s8_14;s8_15;s8_16;s8_163;s8_171a;s8_171b;s8_172a;s8_172b;s8_173a;s8_173b;s8_174a;s8_174b;s8_174e;s8_181a;s8_181b;s8_182a;s8_182b;s8_183a;s8_183b;s8_184a;s8_184b;s8_185a;s8_185b;s8_185e;s8_19;s8_20;s8_21;s8_22;s8_23;s8_24;s8_25;s8_26;s8_27;s8_28;upm;estrato;area;factor_ant;factor
"10007060021";1;"1";1;2;"";;100;2;"";1;1;"";5;"";6;"";4;1;1;1;1;30;2;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;4;24;3;2;2;;1;27;2;"100070106";"31";2;528;527
"10007060061";1;"1";1;2;"";;50;2;"";1;1;"";1;"";6;"";4;1;1;1;1;25;2;"";2;;2;;1;50;2;;"";1;1000;2;;2;;2;;2;;"";1;4;24;4;3;2;;2;;2;"100070106";"31";2;528;527
"10007060091";1;"1";1;2;"";;100;2;"";1;1;"";1;"";6;"";4;1;1;1;1;20;1;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";2;4;24;2;1;2;;1;27;2;"100070106";"31";2;528;527
"10007060131";1;"1";1;2;"";;150;2;"";1;2;"";5;"";6;"";4;1;1;1;1;20;3;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;1;0;2;2;1;1;2;;2;"100070106";"31";2;528;527
"10007060161";1;"1";1;2;"";;200;2;"";1;2;"";5;"";6;"";4;1;1;1;1;25;3;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;4;8;5;3;2;;1;27;2;"100070106";"31";2;528;527
"10007060201";1;"1";1;2;"";;1000;2;"";1;1;"";5;"";6;"";2;1;1;1;1;25;2;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;4;12;2;1;2;;1;36;2;"100070106";"31";2;528;527
"10007060241";1;"1";1;2;"";;150;2;"";1;2;"";5;"";6;"";4;1;1;1;1;25;3;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;1;0;2;2;2;;2;;2;"100070106";"31";2;528;527
"10007060271";1;"1";1;3;"";;150;2;"";1;2;"";5;"";6;"";4;1;1;1;1;100;3;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;4;12;2;1;2;;1;30;2;"100070106";"31";2;528;527
"10007060311";1;"1";1;2;"";;100;2;"";1;2;"";5;"";6;"";4;2;;1;1;25;2;"";1;130;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;4;8;3;1;2;;2;;2;"100070106";"31";2;528;527
"10007060341";1;"1";4;4;"";;50;2;"";1;1;"";6;"";6;"";4;1;1;1;1;30;2;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";2;4;8;1;1;2;;2;;2;"100070106";"31";2;528;527
