folio;id01;resultad;totper;rcompra;c_dia;c_mes;c_resul;s8_15_01;s8_15_02;s8_15_03;s8_15_04;s8_15_05;s8_15_06;s8_15_07;s8_15_08;s8_15_09;s8_15_10;s8_15_11;s8_15_12;s8_15_13;s8_15_14;s8_15_15;s8_15_16;s8_15_17;s8_16_01;s8_16_02;s8_16_03;s8_16_04;s8_16_05;s8_16_06;s8_16_07;s8_16_08;s8_16_09;s8_17_01;s8_17_02;s8_17_03;s8_17_04;s8_17_05;s8_17_06;s8_17_07;s8_17_08;s8_17_09;s8_17_10;s8_17_11;s8_17_12;s8_17_13;s8_17_14;s8_17_15;s8_17_16;upm;area;estrato;factor_ant;factor
"10040010021";"01";1;6;1;6;12;1;15;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"100400301";2;"32";398;399
"10040010051";"01";1;1;1;6;12;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"100400301";2;"32";398;399
"10040010081";"01";1;2;2;6;12;1;5;0;60;0;0;0;25;7;0;0;0;0;0;0;0;0;0;0;0;700;500;0;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"100400301";2;"32";398;399
"10040010111";"01";1;5;1;6;12;1;35;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;58;0;0;0;0;10;8;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"100400301";2;"32";398;399
"10040010141";"01";1;5;2;7;12;1;30;0;0;0;0;0;20;20;0;0;4;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"100400301";2;"32";398;399
"10040010171";"01";1;3;2;6;12;1;30;0;24;0;0;0;20;20;0;0;10;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"100400301";2;"32";398;399
"10040010201";"01";1;10;1;6;12;1;0;0;0;0;0;0;50;15;0;0;7;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40;0;0;0;0;0;0;0;"100400301";2;"32";398;399
"10040010221";"01";1;3;2;6;12;1;20;0;8;0;0;0;30;10;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"100400301";2;"32";398;399
"10040010251";"01";1;1;1;6;12;1;10;0;8;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"100400301";2;"32";398;399
"10040010281";"01";1;8;2;6;12;1;20;0;0;0;0;0;15;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"100400301";2;"32";398;399
"10040010311";"01";1;2;2;6;12;1;20;0;0;0;0;0;10;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"100400301";2;"32";398;399
"10040010341";"01";1;7;1;7;12;1;36;0;30;0;0;0;20;0;0;0;15;0;0;0;0;10;0;0;380;100;80;0;0;0;38;0;0;0;0;0;0;0;0;0;60;0;0;0;0;0;0;0;"100400301";2;"32";398;399
"10102010051";"01";1;3;1;3;12;1;18;0;50;0;0;0;20;0;0;0;8;0;0;0;0;0;0;0;100;0;0;0;180;0;15;0;30;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;"101020301";2;"32";401;402
"10102010171";"01";1;6;2;4;12;1;100;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;10;0;100;40;40;0;0;0;60;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"101020301";2;"32";401;402
"10102010291";"01";1;6;2;4;12;1;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;80;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"101020301";2;"32";401;402
"10102010411";"01";1;2;2;4;12;1;15;0;0;0;0;0;10;0;0;0;0;0;0;0;0;30;0;0;0;35;70;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"101020301";2;"32";401;402
"10102010531";"01";1;4;1;4;12;1;18;0;50;0;0;0;15;0;0;0;0;0;0;0;0;10;6;0;200;0;0;0;0;0;48;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"101020301";2;"32";401;402
"10102010651";"01";1;8;1;4;12;1;24;0;50;0;0;0;40;0;0;0;18;0;0;0;0;20;3;0;500;50;50;0;0;0;48;0;15;0;0;0;0;0;0;0;50;0;0;0;0;0;0;0;"101020301";2;"32";401;402
"10102010771";"01";1;5;2;3;12;1;20;0;0;0;0;0;15;10;0;0;8;0;0;0;0;20;0;0;300;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"101020301";2;"32";401;402
"10102010881";"01";1;4;1;4;12;1;28;0;50;0;0;0;12;0;0;0;18;0;0;0;0;10;9;0;300;80;100;0;0;0;48;0;20;0;0;0;0;0;0;0;50;0;0;0;0;0;0;0;"101020301";2;"32";401;402
"10102011001";"01";1;5;2;4;12;1;50;0;40;0;0;0;30;20;8;0;10;0;0;0;0;50;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"101020301";2;"32";401;402
