folio;id01;resultad;totper;rcompra;c_dia;c_mes;c_resul;s1_01;s1_02;s1_02e;s1_03;s1_04;s1_05;s1_05e;s1_06;s1_07;s1_07e;s1_08;s1_08e;s1_09;s1_09e;s1_10;s1_11;s1_12;s1_13;s1_14;s1_15;s1_16;s1_16e;s1_171a;s1_171b;s1_172a;s1_172b;s1_173a;s1_173b;s1_174a;s1_174b;s1_174e;s1_181a;s1_181b;s1_182a;s1_182b;s1_183a;s1_183b;s1_184a;s1_184b;s1_185a;s1_185b;s1_185e;s1_19;s1_20;s1_20e;s1_21;s1_22;s1_23;s1_24;s1_25;s1_26;upm;area;estrato;factor_ant;factor
"10040010021";"01";1;6;1;6;12;1;1;2;"";;10;2;"";1;2;"";5;"";8;"";0;6;;;2;;4;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;2;"";0;1;1;2;;2;"100400301";2;"32";398;399
"10040010051";"01";1;1;1;6;12;1;1;2;"";;30;2;"";2;4;"";1;"";8;"";0;6;;;2;;3;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";2;1;"";0;3;1;2;;2;"100400301";2;"32";398;399
"10040010081";"01";1;2;2;6;12;1;1;2;"";;50;2;"";1;2;"";5;"";8;"";0;6;;;2;;2;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;1;"";0;1;1;2;;2;"100400301";2;"32";398;399
"10040010111";"01";1;5;1;6;12;1;1;2;"";;15;2;"";1;2;"";5;"";8;"";0;6;;;2;;4;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;1;"";0;2;2;2;;2;"100400301";2;"32";398;399
"10040010141";"01";1;5;2;7;12;1;1;2;"";;30;2;"";1;4;"";1;"";8;"";0;6;;;2;;3;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;1;"";0;2;2;2;;2;"100400301";2;"32";398;399
"10040010171";"01";1;3;2;6;12;1;1;2;"";;30;2;"";1;2;"";1;"";2;"";0;6;;;2;;2;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;1;"";0;2;1;2;;2;"100400301";2;"32";398;399
"10040010201";"01";1;10;1;6;12;1;1;2;"";;30;2;"";1;2;"";5;"";2;"";0;6;;;2;;2;"";1;200;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;1;"";0;2;2;2;;2;"100400301";2;"32";398;399
"10040010221";"01";1;3;2;6;12;1;1;2;"";;20;2;"";1;2;"";5;"";8;"";0;6;;;2;;3;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;1;"";0;1;1;2;;2;"100400301";2;"32";398;399
"10040010251";"01";1;1;1;6;12;1;1;2;"";;10;2;"";1;2;"";5;"";7;"";0;6;;;2;;3;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;1;"";0;1;1;2;;2;"100400301";2;"32";398;399
"10040010281";"01";1;8;2;6;12;1;1;2;"";;20;2;"";1;2;"";5;"";8;"";0;6;;;2;;3;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;1;"";0;1;1;2;;2;"100400301";2;"32";398;399
"10040010311";"01";1;2;2;6;12;1;1;2;"";;15;2;"";2;4;"";1;"";8;"";0;6;;;2;;3;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;1;"";0;1;1;2;;2;"100400301";2;"32";398;399
