folio;item;s8_13;s8_14;s8_15;s8_16;factor_ant;factor
"11-00417013509-A0011";9;2;;;;319;323
"11-00417013509-A0011";1;1;1;15;2000;319;323
"11-00417013509-A0011";2;1;1;20;1000;319;323
"11-00417013509-A0011";3;1;1;20;2300;319;323
"11-00417013509-A0011";4;1;1;10;5000;319;323
"11-00417013509-A0011";5;1;1;20;700;319;323
"11-00417013509-A0011";6;1;1;10;4500;319;323
"11-00417013509-A0011";7;1;3;4;4500;319;323
"11-00417013509-A0011";8;1;1;6;2100;319;323
"11-00417013509-A0011";10;1;1;2;90000;319;323
"11-00417013509-A0081";1;2;;;;319;323
"11-00417013509-A0081";3;2;;;;319;323
"11-00417013509-A0081";4;2;;;;319;323
"11-00417013509-A0081";5;2;;;;319;323
"11-00417013509-A0081";6;2;;;;319;323
"11-00417013509-A0081";8;2;;;;319;323
"11-00417013509-A0081";9;2;;;;319;323
"11-00417013509-A0081";10;2;;;;319;323
"11-00417013509-A0081";2;1;1;10;370;319;323
"11-00417013509-A0081";7;1;1;15;10000;319;323
"11-00417013509-A0161";2;2;;;;319;323
"11-00417013509-A0161";4;2;;;;319;323
"11-00417013509-A0161";6;2;;;;319;323
"11-00417013509-A0161";8;2;;;;319;323
"11-00417013509-A0161";9;2;;;;319;323
"11-00417013509-A0161";1;1;1;2;2500;319;323
"11-00417013509-A0161";3;1;1;3;2800;319;323
"11-00417013509-A0161";5;1;1;1;999999;319;323
"11-00417013509-A0161";7;1;1;1;1400;319;323
"11-00417013509-A0161";10;1;1;5;30000;319;323
"11-00417013509-A0231";4;2;;;;319;323
"11-00417013509-A0231";9;2;;;;319;323
"11-00417013509-A0231";10;2;;;;319;323
"11-00417013509-A0231";1;1;2;25;999999;319;323
"11-00417013509-A0231";2;1;2;5;1800;319;323
"11-00417013509-A0231";3;1;1;20;4000;319;323
"11-00417013509-A0231";5;1;2;7;150;319;323
"11-00417013509-A0231";6;1;1;8;3000;319;323
"11-00417013509-A0231";7;1;3;2;2500;319;323
"11-00417013509-A0231";8;1;1;7;2500;319;323
"11-00417013509-A0301";1;2;;;;319;323
"11-00417013509-A0301";3;2;;;;319;323
"11-00417013509-A0301";6;2;;;;319;323
"11-00417013509-A0301";9;2;;;;319;323
"11-00417013509-A0301";10;2;;;;319;323
"11-00417013509-A0301";2;1;1;17;999999;319;323
"11-00417013509-A0301";4;1;1;6;999999;319;323
"11-00417013509-A0301";5;1;1;10;999999;319;323
"11-00417013509-A0301";7;1;2;10;10000;319;323
"11-00417013509-A0301";8;1;1;7;4500;319;323
"11-00417013509-A0381";1;2;;;;319;323
"11-00417013509-A0381";4;2;;;;319;323
"11-00417013509-A0381";6;2;;;;319;323
