folio;s8b_10_01;s8b_10_02;s8b_10_03;s8b_10_04;s8b_10_05;s8b_10_06;s8b_10_07;s8b_10_08;s8b_10_09;s8b_10_10;s8b_10_11;s8b_10_12;s8b_10_13;s8b_10_14;s8b_10_15;s8b_10_16;s8b_10_17;s8b_10_18;s8b_10_19;s8b_10_20;s8b_10_21;s8b_10_22;s8b_10_23;s8b_10_24;s8b_10_25;s8b_10_26;s8b_10_27;s8b_10_28;s8b_10_29;s8b_11_01;s8b_11_02;s8b_11_03;s8b_11_04;s8b_11_05;s8b_11_06;s8b_11_07;s8b_11_08;s8b_11_09;s8b_12_01;s8b_12_02;s8b_12_03;s8b_12_04;s8b_12_05;s8b_12_06;s8b_12_07;s8b_12_08;s8b_12_09;s8b_12_10;s8b_12_11;s8b_12_12;s8b_12_13;s8b_12_14;s8b_12_15;s8b_12_16;s8b_12_17;s8b_12_18;s8b_12_19;s8b_12_20;s8b_12_21;factor_ant;factor
"11-00417013509-A0011";300;100;100;129;0;0;300;20;0;500;45;500;100;80;0;0;0;0;24;100;0;30;250;400;0;32;200;180;180;10;300;206;0;0;0;0;60;0;80;0;500;3500;0;0;0;0;0;0;0;0;0;720;200;0;30;20;2900;6750;100;319;323
"11-00417013509-A0081";100;90;0;0;0;0;50;50;0;0;0;0;0;300;0;48;0;0;200;100;0;100;0;0;0;0;200;10;37;0;600;0;0;0;0;0;150;0;380;0;0;0;0;0;0;0;100;0;0;0;0;200;400;0;0;0;0;0;0;319;323
"11-00417013509-A0161";70;0;0;200;0;0;50;0;30;0;0;0;0;0;250;500;20;400;0;0;1200;0;0;0;0;400;120;0;0;0;0;0;200;0;0;0;120;0;300;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1000;200;500;300;319;323
"11-00417013509-A0231";43;240;0;30;0;0;44;0;90;0;0;0;0;0;25;50;35;0;24;40;0;0;1000;0;0;0;60;0;145;83;0;400;0;0;100;0;50;36;0;0;0;0;0;0;0;0;450;0;0;0;0;0;0;0;0;0;3500;2200;3000;319;323
"11-00417013509-A0301";0;120;0;0;0;50;0;0;30;0;0;0;0;100;0;0;0;0;0;0;0;100;0;0;0;0;250;50;130;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50;300;250;0;0;0;0;300;0;319;323
"11-00417013509-A0381";15;0;0;0;0;20;30;20;15;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;50;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;240;300;0;0;0;0;0;0;319;323
"11-00417013509-A0451";50;10;0;0;0;0;100;30;0;0;0;0;0;0;300;500;0;0;300;0;100;300;0;0;0;0;150;50;195;0;0;300;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1000;0;319;323
"11-00417013509-A0521";20;0;0;0;0;20;100;0;15;0;0;0;0;0;200;380;150;300;100;0;0;250;0;0;0;50;50;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50;0;1000;0;319;323
"11-00417013509-A0601";10;0;0;0;15;10;30;0;0;0;0;0;0;0;0;200;0;0;30;0;50;20;0;0;0;0;80;10;0;0;0;0;0;0;0;0;200;0;150;0;0;150;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;319;323
"11-00417013509-A0671";18;20;0;1600;0;50;100;36;0;0;0;1018;0;50;0;0;0;0;50;0;0;40;0;0;0;0;40;10;90;10;0;0;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2000;100;1000;0;0;900;0;319;323
"11-00417013509-A0741";20;0;0;10;15;0;80;16;25;700;5;500;0;100;0;0;0;0;100;0;100;30;0;0;0;100;200;10;30;0;0;200;200;150;0;0;200;0;0;0;0;0;0;0;0;50;0;700;0;0;0;200;400;0;0;100;0;200;0;319;323
"11-00417013509-A0821";20;30;0;10;0;0;60;0;20;600;0;0;0;0;0;100;0;0;0;0;30;20;0;0;0;0;0;0;80;0;0;300;0;0;0;0;100;0;400;200;200;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;200;0;319;323
"11-00417139432-A0081";25;50;0;0;0;10;40;15;0;0;0;700;0;30;0;0;0;0;50;0;0;30;0;0;0;0;60;10;120;0;0;0;0;0;0;0;100;0;150;200;0;0;0;0;0;0;0;0;0;0;200;400;300;15;0;0;0;0;100;319;323
"11-00417139432-A0161";25;50;0;10;0;0;50;0;0;0;0;0;0;0;0;30;0;50;30;0;0;0;0;0;0;0;40;5;120;100;0;0;0;0;0;30;70;0;300;200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;319;323
