folio;hogar;s1a_01;s1a_02;s1a_02b;s1a_03;s1a_04;s1a_05;s1a_05b;s1a_06;s1a_07;s1a_07b;s1a_08;s1a_08b;s1a_09;s1a_09b;s1a_10;s1a_11;s1a_12;s1a_13;s1a_14;s1a_15;s1a_16;s1a_16b;s1a_17_1a;s1a_17_1b;s1a_17_2a;s1a_17_2b;s1a_17_3a;s1a_17_3b;s1a_17_4a;s1a_17_4b;s1a_17_4c;s1a_18_1a;s1a_18_1b;s1a_18_2a;s1a_18_2b;s1a_18_3a;s1a_18_3b;s1a_18_4a;s1a_18_4b;s1a_18_5a;s1a_18_5b;s1a_18_5c;s1a_19;s1a_20;s1a_20b;s1a_21;s1a_22;s1a_23;s1a_24;s1a_25;s1a_26;depto;prov;mun;urbrur;upm;estrato;dia;mes;anio;factor_ant;factor
"11-00417013509-A0011";1;1;2;"";;3000;1;"";1;2;"";6;"";1;"";120;1;1;1;1;120;6;"";1;800;2;;1;60;2;"";;2;;2;;2;;2;;2;"";;1;4;"";80;4;3;1;40;1;"01";"0101";"010101";1;"11-00417013509-A";1;21;11;2014;319;323
"11-00417013509-A0081";1;4;1;"";1000;;1;"";1;2;"";6;"";2;"";100;1;1;2;1;100;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;3;"";46;1;0;2;;2;"01";"0101";"010101";1;"11-00417013509-A";1;21;11;2014;319;323
"11-00417013509-A0161";1;3;2;"";;1000;1;"";1;2;"";6;"";1;"";100;1;1;1;1;100;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;4;"";25;3;1;1;30;2;"01";"0101";"010101";1;"11-00417013509-A";1;22;11;2014;319;323
"11-00417013509-A0231";1;1;2;"";;1000;2;"";1;2;"";6;"";1;"";100;1;1;1;1;100;6;"";1;7000;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;4;"";15;2;1;1;25;2;"01";"0101";"010101";1;"11-00417013509-A";1;22;11;2014;319;323
"11-00417013509-A0301";1;1;2;"";;1500;2;"";1;2;"";6;"";1;"";100;1;1;1;1;450;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";23;4;3;1;35;2;"01";"0101";"010101";1;"11-00417013509-A";1;21;11;2014;319;323
"11-00417013509-A0381";1;3;1;"";1500;;2;"";1;2;"";5;"";1;"";70;1;1;1;1;80;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";23;3;2;2;;2;"01";"0101";"010101";1;"11-00417013509-A";1;21;11;2014;319;323
"11-00417013509-A0451";1;1;2;"";;1200;1;"";1;2;"";4;"";1;"";40;1;1;1;1;120;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";23;3;2;2;;2;"01";"0101";"010101";1;"11-00417013509-A";1;22;11;2014;319;323
"11-00417013509-A0521";1;1;2;"";;500;2;"";1;2;"";6;"";1;"";40;1;1;1;1;60;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";23;2;1;1;40;2;"01";"0101";"010101";1;"11-00417013509-A";1;21;11;2014;319;323
"11-00417013509-A0601";1;4;1;"";350;;1;"";1;1;"";6;"";2;"";30;1;1;1;1;30;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";11;1;1;2;;1;"01";"0101";"010101";1;"11-00417013509-A";1;22;11;2014;319;323
"11-00417013509-A0671";1;1;2;"";;400;2;"";1;2;"";5;"";1;"";120;1;1;1;1;140;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";45;3;1;1;30;2;"01";"0101";"010101";1;"11-00417013509-A";1;24;11;2014;319;323
"11-00417013509-A0741";1;3;2;"";;900;1;"";1;3;"";3;"";1;"";50;1;1;1;1;80;6;"";1;500;1;500;2;;2;"";;2;;2;;2;;2;;2;"";;1;4;"";30;4;3;1;50;2;"01";"0101";"010101";1;"11-00417013509-A";1;25;11;2014;319;323
"11-00417013509-A0821";1;3;2;"";;1500;2;"";1;2;"";3;"";1;"";45;1;1;1;1;130;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;4;"";11;4;1;1;120;2;"01";"0101";"010101";1;"11-00417013509-A";1;22;11;2014;319;323
"11-00417139432-A0081";1;1;1;"";1200;;1;"";1;1;"";6;"";1;"";80;1;1;1;1;150;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;4;"";30;3;2;2;;2;"01";"0101";"010101";1;"11-00417139432-A";1;18;11;2014;319;323
