folio;s1a_01;s1a_02;s1a_02b;s1a_03;s1a_04;s1a_05;s1a_06;s1a_07;s1a_07b;s1a_08;s1a_09;s1a_09b;s1a_10;s1a_10b;s1a_11;s1a_11b;s1a_12a;s1a_12b;s1a_13;s1a_14;s1a_15;s1a_16;s1a_17;s1a_18;s1a_19;s1a_20;s1a_20b;s1a_21_1a;s1a_21_1b;s1a_21_2a;s1a_21_2b;s1a_21_3a;s1a_21_3b;s1a_21_4a;s1a_21_4a1;s1a_21_4b;s1a_22_1a;s1a_22_1b;s1a_22_2a;s1a_22_2b;s1a_22_3a;s1a_22_3b;s1a_22_4a;s1a_22_4b;s1a_22_5a;s1a_22_5a1;s1a_22_5b;s1a_23;s1a_24;s1a_24a;s1a_25;s1a_26;s1a_27;s1a_28;s1a_29;s1a_30;departamento;area;upm;estrato;factor
"543-03461776658-A-0091";2;4;"";;300;2;;2;"";1;4;"";8;"LAJA";2;"";0;45;12;1;1;1;;1;50;6;"";1;1000;2;;1;100;2;"";;2;;2;;2;;2;;2;"";;1;3;"";52;2;2;2;;1;5;2;"543-03461776658-A";"23";580
"312-05217704731-A-0512";4;1;"";15;;2;;2;"";2;1;"";8;"PIEDRA";2;"";1;0;30;1;1;2;2;1;20;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;3;"";50;1;0;2;;2;3;1;"312-05217704731-A";"12";187
"222-06049467722-A-0051";1;2;"";;100;2;;1;"";2;1;"";8;"LADRILLO GAMBOTE";6;"";;;0;3;;1;;1;18;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";45;3;2;2;;2;2;1;"22206049467722-A";"12";207
"311-05172738989-A-0091";4;3;"";;100;2;;1;"";1;1;"";8;"PIEDRA";11;"";;;27;5;;;;1;16;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;3;"";28;1;1;2;;2;3;1;"311-05172738989-A";"11";152
"312-05208369195-A-0271";1;5;"";;100;2;;2;"";1;1;"";8;"PIEDRA";4;"";;;45;1;2;1;;1;20;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;3;"";26;1;0;2;;2;3;1;"312-05208369195-A";"12";224
"263-06140024883-A-0201";1;1;"";;;2;;7;"ns/nr";2;5;"ns/nr";8;"ns/nr";1;"";24;0;25;1;1;1;;1;45;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;3;"";23;3;1;2;;2;2;1;"263-06140024883-A";"13";233
"314-05233190771-A-0141";1;2;"";;3500;2;;2;"";1;1;"";8;"PIEDRA, TIERRA, LADRILLO";1;"";1;0;260;5;;;;1;500;6;"";1;2500;2;;1;140;2;"";;2;;2;;2;;2;;2;"";;1;3;"";22;4;2;2;;2;3;1;"314-05233190771-A";"14";210
"422-04534312579-A-0171";1;2;"";;100;2;;2;"";1;1;"";8;"SON PIEDRA";2;"";2;0;18;5;;;;1;30;6;"";1;1500;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;4;"";22;4;1;2;;2;4;1;"422-04534312579-A";"12";224
"712-05251216800-A-0082";4;5;"";;250;2;;1;"";1;2;"";8;"ns/nr";2;"";24;0;62;5;;;;1;48;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;7;"";;1;0;2;;2;7;1;"712-05251216800-A";"12";289
"214-00629768869-A-0251";3;3;"";;3500;2;;1;"";1;1;"";8;"PISO FLOTANTE";1;"";2;0;55;1;1;1;;1;80;5;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";23;3;2;2;;2;2;1;"214-00629768869-A";"14";280
