folio;upm;s11a_01;s11a_02;s11a_02_1;s11a_03a;s11a_03b;s11a_04a;s11a_04b;s11a_05;s11a_05e;s11a_06;s11a_07;s11a_07e;s11a_08;s11a_08e;s11a_09;s11a_10a;s11a_10b;s11a_11a;s11a_11b;s11a_12;s11a_13a;s11a_13b;s11a_13c;s11a_13d;s11a_13e;s11a_13f;s11a_13g;s11a_13h;s11a_13i;s11a_13j;s11a_13k;s11a_13ke;area;depto;estrato;factor
113034;"612-02980166701-A";1;1;1;60101;"ENTRE RIOS";2;3;2;"";1;1;"";7;"";2;;;500;1;2;0;150;150;0;20;0;0;0;0;0;180;"";1;6;"12";139
113038;"612-02980166701-A";2;;;;"";;;;"";;;"";;"";;;;;;;;;;;;;;;;;;"";1;6;"12";139
113043;"612-02980166701-A";2;;;;"";;;;"";;;"";;"";;;;;;;;;;;;;;;;;;"";1;6;"12";139
113044;"612-02980166701-A";2;;;;"";;;;"";;;"";;"";;;;;;;;;;;;;;;;;;"";1;6;"12";139
113045;"612-02980166701-A";2;;;;"";;;;"";;;"";;"";;;;;;;;;;;;;;;;;;"";1;6;"12";139
113050;"712-05208394209-A";2;;;;"";;;;"";;;"";;"";;;;;;;;;;;;;;;;;;"";1;7;"12";415
113051;"712-05208394209-A";1;1;1;71301;"COMARAPA";2;2;2;"";2;4;"";7;"";2;;;300;1;2;0;100;150;0;50;0;0;0;0;0;0;"";1;7;"12";415
113052;"712-05208394209-A";2;;;;"";;;;"";;;"";;"";;;;;;;;;;;;;;;;;;"";1;7;"12";415
113060;"612-02980166701-A";2;;;;"";;;;"";;;"";;"";;;;;;;;;;;;;;;;;;"";1;6;"12";139
113063;"612-02980166701-A";2;;;;"";;;;"";;;"";;"";;;;;;;;;;;;;;;;;;"";1;6;"12";139
113069;"711-05270863656-A";1;2;1;71101;"CONCEPCION";2;2;1;"";1;4;"";8;"";2;;;1500;1;1;0;200;70;0;20;0;0;0;0;400;810;"GASTOS VARIOS";1;7;"11";371
113069;"711-05270863656-A";;;2;71101;"CONCEPCION";2;2;2;"";2;4;"";8;"";2;;;200;1;1;0;10;85;0;20;0;0;0;0;400;810;"GASTOS VARIOS";1;7;"11";371
113073;"711-05270863656-A";2;;;;"";;;;"";;;"";;"";;;;;;;;;;;;;;;;;;"";1;7;"11";371
113077;"712-05208394209-A";2;;;;"";;;;"";;;"";;"";;;;;;;;;;;;;;;;;;"";1;7;"12";415
113078;"712-05208394209-A";2;;;;"";;;;"";;;"";;"";;;;;;;;;;;;;;;;;;"";1;7;"12";415
113079;"712-05208394209-A";2;;;;"";;;;"";;;"";;"";;;;;;;;;;;;;;;;;;"";1;7;"12";415
113090;"712-05215627272-A";2;;;;"";;;;"";;;"";;"";;;;;;;;;;;;;;;;;;"";1;7;"12";415
113091;"712-05215627272-A";2;;;;"";;;;"";;;"";;"";;;;;;;;;;;;;;;;;;"";1;7;"12";415
113092;"712-05215627272-A";2;;;;"";;;;"";;;"";;"";;;;;;;;;;;;;;;;;;"";1;7;"12";415
113164;"411-04813553032-A";2;;;;"";;;;"";;;"";;"";;;;;;;;;;;;;;;;;;"";1;4;"11";169
113170;"411-04813553032-A";1;1;1;40101;"Oruro";1;4;1;"";2;3;"";11;"";2;;;6;1;1;0;4;2;0;0;0;0;0;0;0;0;"";1;4;"11";169
113171;"411-04813553032-A";2;;;;"";;;;"";;;"";;"";;;;;;;;;;;;;;;;;;"";1;4;"11";169
113227;"712-05215627272-A";1;2;1;40101;"Papatalla";3;7;2;"";3;4;"";7;"";2;;;3500;1;2;0;500;600;180;30;40;0;0;0;650;1500;"VARIOS";1;7;"12";415
113227;"712-05215627272-A";;;2;60301;"YACUIBA";2;7;2;"";3;4;"";7;"";2;;;850;1;2;0;500;15;0;0;0;0;0;0;650;1500;"VARIOS";1;7;"12";415
113228;"712-05215627272-A";2;;;;"";;;;"";;;"";;"";;;;;;;;;;;;;;;;;;"";1;7;"12";415
113229;"712-05215627272-A";2;;;;"";;;;"";;;"";;"";;;;;;;;;;;;;;;;;;"";1;7;"12";415
113246;"712-05179609678-A";2;;;;"";;;;"";;;"";;"";;;;;;;;;;;;;;;;;;"";1;7;"12";415
113247;"712-05179609678-A";2;;;;"";;;;"";;;"";;"";;;;;;;;;;;;;;;;;;"";1;7;"12";415
113258;"712-05186105224-A";2;;;;"";;;;"";;;"";;"";;;;;;;;;;;;;;;;;;"";1;7;"12";415
113259;"712-05186105224-A";2;;;;"";;;;"";;;"";;"";;;;;;;;;;;;;;;;;;"";1;7;"12";415
113260;"712-05186105224-A";1;2;1;70105;"LA ANGOSTURA";1;8;1;"";2;3;"";5;"";2;;;200;1;2;50;100;20;0;10;0;0;0;20;0;0;"";1;7;"12";415
113260;"712-05186105224-A";;;2;70105;"Espejitos";1;8;1;"";2;3;"";7;"";2;;;300;1;2;0;100;40;25;30;0;0;0;80;25;0;"";1;7;"12";415
113269;"712-05186105224-A";2;;;;"";;;;"";;;"";;"";;;;;;;;;;;;;;;;;;"";1;7;"12";415
113271;"712-05186105224-A";2;;;;"";;;;"";;;"";;"";;;;;;;;;;;;;;;;;;"";1;7;"12";415
113274;"712-05186105224-A";2;;;;"";;;;"";;;"";;"";;;;;;;;;;;;;;;;;;"";1;7;"12";415
113278;"613-02974962657-A";2;;;;"";;;;"";;;"";;"";;;;;;;;;;;;;;;;;;"";1;6;"13";163
113298;"711-05270863656-A";2;;;;"";;;;"";;;"";;"";;;;;;;;;;;;;;;;;;"";1;7;"11";371
113311;"712-05179609678-A";2;;;;"";;;;"";;;"";;"";;;;;;;;;;;;;;;;;;"";1;7;"12";415
113321;"612-02980166701-A";2;;;;"";;;;"";;;"";;"";;;;;;;;;;;;;;;;;;"";1;6;"12";139
113324;"612-02980166701-A";1;1;1;10101;"SUCRE";2;3;2;"";3;4;"";7;"";2;;;1000;1;2;0;0;700;0;0;0;0;0;0;0;300;"";1;6;"12";139
113331;"311-05222956583-A";2;;;;"";;;;"";;;"";;"";;;;;;;;;;;;;;;;;;"";1;3;"11";172
113332;"711-05232919521-A";2;;;;"";;;;"";;;"";;"";;;;;;;;;;;;;;;;;;"";1;7;"11";371
113333;"711-05232919521-A";2;;;;"";;;;"";;;"";;"";;;;;;;;;;;;;;;;;;"";1;7;"11";371
113334;"711-05232919521-A";2;;;;"";;;;"";;;"";;"";;;;;;;;;;;;;;;;;;"";1;7;"11";371
113348;"711-05262421710-A";2;;;;"";;;;"";;;"";;"";;;;;;;;;;;;;;;;;;"";1;7;"11";371
113349;"711-05262421710-A";2;;;;"";;;;"";;;"";;"";;;;;;;;;;;;;;;;;;"";1;7;"11";371
113350;"711-05262421710-A";2;;;;"";;;;"";;;"";;"";;;;;;;;;;;;;;;;;;"";1;7;"11";371
113454;"711-05232919521-A";2;;;;"";;;;"";;;"";;"";;;;;;;;;;;;;;;;;;"";1;7;"11";371
113455;"711-05232919521-A";2;;;;"";;;;"";;;"";;"";;;;;;;;;;;;;;;;;;"";1;7;"11";371
113456;"711-05232919521-A";2;;;;"";;;;"";;;"";;"";;;;;;;;;;;;;;;;;;"";1;7;"11";371
113545;"613-02974962657-A";2;;;;"";;;;"";;;"";;"";;;;;;;;;;;;;;;;;;"";1;6;"13";163
113547;"613-02974962657-A";2;;;;"";;;;"";;;"";;"";;;;;;;;;;;;;;;;;;"";1;6;"13";163
113549;"262-06102009911-A";2;;;;"";;;;"";;;"";;"";;;;;;;;;;;;;;;;;;"";1;2;"12";202
113550;"262-06102009911-A";2;;;;"";;;;"";;;"";;"";;;;;;;;;;;;;;;;;;"";1;2;"12";202
113553;"612-02986787497-A";2;;;;"";;;;"";;;"";;"";;;;;;;;;;;;;;;;;;"";1;6;"12";139
113554;"612-02986787497-A";2;;;;"";;;;"";;;"";;"";;;;;;;;;;;;;;;;;;"";1;6;"12";139
113562;"612-02986787497-A";2;;;;"";;;;"";;;"";;"";;;;;;;;;;;;;;;;;;"";1;6;"12";139
113568;"612-02984203902-A";2;;;;"";;;;"";;;"";;"";;;;;;;;;;;;;;;;;;"";1;6;"12";139
113569;"612-02984203902-A";2;;;;"";;;;"";;;"";;"";;;;;;;;;;;;;;;;;;"";1;6;"12";139
113570;"612-02984203902-A";2;;;;"";;;;"";;;"";;"";;;;;;;;;;;;;;;;;;"";1;6;"12";139
113582;"612-02986787497-A";2;;;;"";;;;"";;;"";;"";;;;;;;;;;;;;;;;;;"";1;6;"12";139
113583;"612-02986787497-A";2;;;;"";;;;"";;;"";;"";;;;;;;;;;;;;;;;;;"";1;6;"12";139
113584;"612-02986787497-A";2;;;;"";;;;"";;;"";;"";;;;;;;;;;;;;;;;;;"";1;6;"12";139
113599;"711-05270863656-A";2;;;;"";;;;"";;;"";;"";;;;;;;;;;;;;;;;;;"";1;7;"11";371
113605;"711-05270863656-A";2;;;;"";;;;"";;;"";;"";;;;;;;;;;;;;;;;;;"";1;7;"11";371
113613;"711-05270863656-A";2;;;;"";;;;"";;;"";;"";;;;;;;;;;;;;;;;;;"";1;7;"11";371
113616;"312-05222076845-A";2;;;;"";;;;"";;;"";;"";;;;;;;;;;;;;;;;;;"";1;3;"12";198
113618;"312-05222076845-A";2;;;;"";;;;"";;;"";;"";;;;;;;;;;;;;;;;;;"";1;3;"12";198
113624;"312-05222076845-A";2;;;;"";;;;"";;;"";;"";;;;;;;;;;;;;;;;;;"";1;3;"12";198
113635;"613-02974962657-A";2;;;;"";;;;"";;;"";;"";;;;;;;;;;;;;;;;;;"";1;6;"13";163
113637;"613-02974962657-A";2;;;;"";;;;"";;;"";;"";;;;;;;;;;;;;;;;;;"";1;6;"13";163
113639;"613-02974962657-A";2;;;;"";;;;"";;;"";;"";;;;;;;;;;;;;;;;;;"";1;6;"13";163
113666;"611-02980954382-A";2;;;;"";;;;"";;;"";;"";;;;;;;;;;;;;;;;;;"";1;6;"11";122
