folio;upm;s01a_00a;s01a_00b;s01a_00c;s01a_01;totper;s01a_02;s01a_02e;s01a_03;s01a_03e;s01a_04;s01a_05;s01a_06;s01a_06e;s01a_07;s01a_08;s01a_08e;s01a_09;s01a_09e;s01a_10;s01a_10e;s01a_11aa;s01a_11ab;s01a_11b;s01a_12;s01a_13;s01a_14_1;s01a_14_2;s01a_14_3;s01a_15;s01a_16;s01a_17;s01a_18;s01a_19;s01a_20;s01a_21;s01a_21e;s01a_22_1a;s01a_22_1b;s01a_22_2a;s01a_22_2b;s01a_22_3a;s01a_22_3b;s01a_22_4a;s01a_22_4ae;s01a_22_4b;s01a_23_1a;s01a_23_1b;s01a_23_2a;s01a_23_2b;s01a_23_3a;s01a_23_3b;s01a_23_4a;s01a_23_4b;s01a_23_5a;s01a_23_5ae;s01a_23_5b;s01a_24;s01a_25;s01a_25e;s01a_26;s01a_27;s01a_28;s01a_29;s01a_30;s01a_31;area;depto;estrato;factor
113034;"612-02980166701-A";20;10;2016;4;3;3;"";;"";360;;1;"";1;3;"";6;"";1;"";24;0;7;20;2;1;1;1;1;1;2;4;1;40;6;"";2;;2;;2;;2;"";;2;;2;;2;;1;20;2;"";;1;3;"";30;1;1;2;;2;1;6;"12";139
113038;"612-02980166701-A";20;10;2016;4;4;3;"";;"";400;;1;"";1;3;"";5;"";1;"";24;0;7;20;2;1;1;1;1;1;2;4;1;30;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;3;"";23;1;0;2;;2;1;6;"12";139
113043;"612-02980166701-A";20;10;2016;4;5;3;"";;"";500;;1;"";1;1;"";5;"";2;"";20;0;7;20;1;1;1;2;1;1;2;3;1;20;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;3;"";75;1;0;2;;2;1;6;"12";139
113044;"612-02980166701-A";20;10;2016;1;1;3;"";;"";310;;1;"";1;3;"";6;"";2;"";12;0;7;20;2;1;2;2;1;1;2;3;1;20;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;3;"";12;1;0;2;;1;1;6;"12";139
113045;"612-02980166701-A";20;10;2016;1;3;1;"";4;"";;2000;1;"";1;2;"";6;"";1;"";16;0;7;70;1;1;1;2;1;1;2;2;1;80;6;"";2;;2;;1;200;2;"";;1;3500;1;2000;2;;2;;2;"";;1;4;"";20;4;2;2;;2;1;6;"12";139
113050;"712-05208394209-A";20;10;2016;4;3;3;"";;"";300;;1;"";1;2;"";5;"";2;"";24;0;7;25;1;1;1;2;1;2;2;3;1;70;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";25;2;2;2;;1;1;7;"12";415
113051;"712-05208394209-A";20;10;2016;1;4;1;"";4;"";;700;1;"";1;2;"";6;"";1;"";24;0;7;80;2;1;1;2;1;2;1;;1;150;6;"";2;;1;50;2;;2;"";;2;;2;;2;;2;;2;"";;1;4;"";12;2;2;2;;2;1;7;"12";415
113052;"712-05208394209-A";21;10;2016;4;2;3;"";;"";400;;1;"";1;2;"";5;"";2;"";24;0;7;10;2;1;1;2;1;2;2;4;1;30;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;3;"";25;1;0;2;;2;1;7;"12";415
113060;"612-02980166701-A";20;10;2016;1;2;3;"";;"";1600;;1;"";1;2;"";6;"";1;"";24;0;7;60;1;1;1;1;1;1;1;;1;90;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;4;"";18;3;2;1;26;2;1;6;"12";139
113063;"612-02980166701-A";20;10;2016;1;4;3;"";;"";400;;1;"";1;3;"";6;"";1;"";24;0;7;40;1;1;1;1;1;1;2;2;1;85;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;3;"";45;1;1;1;25;2;1;6;"12";139
113069;"711-05270863656-A";20;10;2016;4;3;2;"";2;"";;400;1;"";1;1;"";7;"";1;"";24;0;7;50;1;1;1;1;1;2;2;4;1;150;2;"";1;3000;2;;1;200;2;"";;1;4000;2;;2;;2;;2;"";;1;3;"";50;1;1;2;;2;1;7;"11";371
113073;"711-05270863656-A";20;10;2016;1;3;2;"";2;"";;400;1;"";1;1;"";7;"";1;"";24;0;7;300;1;1;1;1;1;2;2;4;1;300;2;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";50;2;2;2;;2;1;7;"11";371
113077;"712-05208394209-A";20;10;2016;4;4;3;"";;"";300;;1;"";1;2;"";5;"";2;"";24;0;7;50;2;1;1;1;1;2;2;3;1;55;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;3;"";25;1;1;2;;2;1;7;"12";415
113078;"712-05208394209-A";20;10;2016;4;2;3;"";;"";350;;1;"";1;1;"";5;"";2;"";24;0;7;50;2;1;1;1;1;2;2;6;1;50;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;3;"";25;1;0;2;;2;1;7;"12";415
113079;"712-05208394209-A";20;10;2016;4;3;1;"";4;"";;350;1;"";1;1;"";5;"";1;"";24;0;7;25;2;1;1;1;1;2;2;3;1;25;6;"";2;;2;;2;;2;"";;1;54000;2;;2;;2;;2;"";;1;3;"";24;2;2;2;;2;1;7;"12";415
113090;"712-05215627272-A";20;10;2016;4;2;7;"";;"";;350;1;"";2;1;"";7;"";2;"";24;0;7;50;1;1;1;1;1;2;2;2;1;65;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";12;1;0;2;;2;1;7;"12";415
113091;"712-05215627272-A";20;10;2016;1;2;1;"";3;"";;1200;1;"";1;1;"";6;"";2;"";24;0;7;40;1;1;1;1;1;2;2;3;1;100;5;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;4;"";9;3;1;2;;1;1;7;"12";415
113092;"712-05215627272-A";21;10;2016;4;5;7;"";;"";;500;1;"";1;2;"";6;"";2;"";24;0;7;50;1;1;1;1;1;2;2;2;1;110;6;"";1;1300;2;;2;;2;"";;2;;2;;2;;1;150;2;"";;1;3;"";22;2;2;2;;1;1;7;"12";415
113164;"411-04813553032-A";20;10;2016;4;5;3;"";;"";85;;1;"";1;1;"";5;"";2;"";6;0;7;15;1;1;2;1;5;;;;1;18;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;3;"";14;1;0;2;;2;1;4;"11";169
113170;"411-04813553032-A";21;10;2016;1;5;1;"";4;"";;100;1;"";1;1;"";5;"";2;"";5;0;7;10;1;1;1;1;5;;;;1;25;6;"";2;;2;;2;;2;"";;1;13000;2;;2;;2;;2;"";;2;3;"";28;3;1;2;;2;1;4;"11";169
113171;"411-04813553032-A";20;10;2016;1;8;1;"";4;"";;100;2;"";1;1;"";5;"";2;"";5;0;7;19;1;1;1;1;2;;1;;1;35;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;3;"";28;3;2;2;;2;1;4;"11";169
113227;"712-05215627272-A";20;10;2016;1;3;5;"";;"";;700;1;"";1;3;"";6;"";1;"";24;0;7;63;1;1;1;1;2;;2;3;1;70;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";25;1;1;2;;2;1;7;"12";415
113228;"712-05215627272-A";20;10;2016;1;7;1;"";3;"";;400;1;"";2;2;"";5;"";1;"";4;0;7;100;1;1;1;1;2;;2;3;1;150;6;"";2;;2;;2;;1;"PARA LADRILLO Y SEMENTO";1000;2;;2;;2;;2;;2;"";;1;3;"";23;1;1;1;70;2;1;7;"12";415
113229;"712-05215627272-A";20;10;2016;1;6;3;"";;"";800;;1;"";1;3;"";6;"";1;"";24;0;7;40;2;1;1;1;1;2;1;;1;120;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;3;"";23;2;1;2;;2;1;7;"12";415
113246;"712-05179609678-A";20;10;2016;4;5;3;"";;"";400;;1;"";1;2;"";6;"";2;"";24;0;7;50;1;1;2;2;2;;2;4;1;50;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;3;"";50;1;0;2;;2;1;7;"12";415
113247;"712-05179609678-A";21;10;2016;1;2;5;"";;"";;2500;1;"";1;3;"";6;"";2;"";24;0;7;100;1;1;1;1;2;;1;;1;500;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";350;2;2;2;;2;1;7;"12";415
113258;"712-05186105224-A";21;10;2016;1;3;1;"";4;"";;1000;1;"";1;3;"";6;"";1;"";24;0;7;108;2;1;1;1;1;2;1;;1;150;6;"";1;200;1;200;2;;2;"";;2;;2;;2;;2;;2;"";;1;4;"";20;2;1;2;;1;1;7;"12";415
113259;"712-05186105224-A";20;10;2016;1;6;1;"";2;"";;2000;1;"";1;2;"";6;"";1;"";24;0;7;50;2;1;1;2;1;2;1;;1;60;4;"";1;3000;2;;2;;2;"";;1;7000;2;;2;;2;;2;"";;1;3;"";26;2;2;2;;2;1;7;"12";415
113260;"712-05186105224-A";20;10;2016;4;2;7;"";;"";;300;1;"";1;2;"";5;"";1;"";24;0;7;30;1;1;1;1;1;2;2;2;1;70;2;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";26;1;1;2;;2;1;7;"12";415
113269;"712-05186105224-A";20;10;2016;4;2;3;"";;"";350;;1;"";1;2;"";5;"";2;"";24;0;7;30;1;1;1;1;1;2;2;2;1;40;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;3;"";25;1;0;2;;2;1;7;"12";415
113271;"712-05186105224-A";21;10;2016;1;3;7;"";;"";;500;1;"";1;3;"";6;"";2;"";24;0;7;30;1;1;1;1;1;2;2;2;1;60;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;3;"";26;1;1;2;;1;1;7;"12";415
113274;"712-05186105224-A";20;10;2016;4;3;7;"";;"";;300;1;"";1;2;"";6;"";2;"";24;0;7;30;1;1;1;1;1;2;2;2;1;55;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;3;"";26;1;0;2;;2;1;7;"12";415
113278;"613-02974962657-A";20;10;2016;4;2;3;"";;"";550;;1;"";1;1;"";6;"";2;"";24;0;7;30;2;1;1;1;1;1;2;8;1;20;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;3;"";23;2;1;2;;1;1;6;"13";163
113298;"711-05270863656-A";21;10;2016;4;6;2;"";4;"";;250;1;"";1;1;"";5;"";2;"";24;0;7;25;1;1;1;1;2;;1;;1;50;2;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";50;1;1;2;;2;1;7;"11";371
113311;"712-05179609678-A";21;10;2016;1;4;3;"";;"";1000;;1;"";1;3;"";6;"";2;"";24;0;7;50;1;1;2;2;2;;2;3;1;100;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;3;"";50;1;1;2;;2;1;7;"12";415
113321;"612-02980166701-A";21;10;2016;1;2;1;"";4;"";;800;1;"";1;3;"";6;"";1;"";24;0;7;50;1;1;1;1;1;1;2;2;1;45;6;"";2;;1;200;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";23;2;2;2;;2;1;6;"12";139
113324;"612-02980166701-A";21;10;2016;3;3;5;"";;"";;1500;1;"";1;3;"";6;"";1;"";16;0;7;50;2;1;1;1;1;1;1;;1;100;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";23;3;2;2;;2;1;6;"12";139
113331;"311-05222956583-A";20;10;2016;1;5;1;"";4;"";;200;1;"";1;1;"";6;"";11;"";;;;192;1;1;1;2;1;4;1;;1;35;5;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";23;2;2;2;;2;1;3;"11";172
113332;"711-05232919521-A";20;10;2016;1;4;1;"";1;"";;750;1;"";1;1;"";6;"";1;"";24;0;7;40;1;1;1;1;1;2;1;;1;120;2;"";2;;2;;1;80;1;"ns/nr";1400;2;;2;;2;;2;;2;"";;1;4;"";25;2;2;2;;2;1;7;"11";371
113333;"711-05232919521-A";20;10;2016;1;5;7;"";;"";;400;1;"";1;2;"";5;"";2;"";24;0;7;80;1;1;2;2;1;2;1;;1;120;2;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;4;"";20;2;1;2;;2;1;7;"11";371
113334;"711-05232919521-A";20;10;2016;1;4;1;"";2;"";;1440;1;"";2;1;"";7;"";1;"";24;0;7;50;1;1;2;2;3;;1;;1;150;2;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;3;"";25;2;2;2;;2;1;7;"11";371
113348;"711-05262421710-A";25;10;2016;1;6;7;"";;"";;400;1;"";1;2;"";5;"";1;"";24;0;7;27;1;1;2;2;1;2;1;;1;180;2;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";25;2;2;2;;2;1;7;"11";371
113349;"711-05262421710-A";25;10;2016;1;3;3;"";;"";500;;1;"";1;2;"";5;"";1;"";24;0;7;41;1;1;1;1;1;2;1;;1;68;2;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";26;2;2;2;;2;1;7;"11";371
113350;"711-05262421710-A";25;10;2016;1;4;3;"";;"";450;;1;"";2;1;"";6;"";1;"";24;0;7;32;1;1;1;1;1;2;1;;1;90;2;"";1;2000;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";25;2;2;2;;2;1;7;"11";371
113454;"711-05232919521-A";20;10;2016;1;3;1;"";4;"";;1000;1;"";1;2;"";6;"";2;"";24;0;7;40;1;1;2;2;2;;1;;1;90;2;"";1;100;2;;2;;2;"";;2;;2;;2;;1;50;2;"";;2;3;"";25;2;1;2;;2;1;7;"11";371
113455;"711-05232919521-A";20;10;2016;1;7;3;"";;"";800;;1;"";1;2;"";6;"";2;"";24;0;7;60;2;1;2;2;2;;1;;1;130;2;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";25;4;2;2;;2;1;7;"11";371
